first_name,log_labor_income,female,female_pred,R
carl,8.716044050161402,NA,0,0
anna,8.151909872940905,NA,1,0
emil,8.276394704863307,NA,0,0
alfhild,7.313220387090301,NA,0,0
greta,7.3777589082278725,0,1,1
alena,7.313220387090301,0,0,1
märtha,7.313220387090301,NA,0,0
ebba,7.313220387090301,NA,1,0
hedvig,7.3901814282264295,NA,1,0
anna,7.90100705199242,NA,1,0
hulda,7.090076835776092,NA,1,0
johan,10.722385938401633,NA,0,0
maria,7.138866999945524,NA,1,0
bror,10.810131907358478,NA,0,0
karl,10.814363651708785,NA,0,0
ivar,10.156189906091882,NA,0,0
anton,10.080796567506539,NA,0,0
per,8.724207360800564,NA,0,0
johan,8.97335141383992,NA,0,0
signe,8.639410824140487,NA,0,0
carl,10.4069259578681,NA,0,0
julia,7.937374696163295,NA,1,0
maria,7.3901814282264295,NA,1,0
gustaf,8.635864721133736,NA,0,0
gösta,8.571681376700306,NA,0,0
adolf,8.463792414689122,NA,0,0
nils,7.8160138391590275,0,0,1
carl,8.316300249036848,0,0,1
per,8.216088098632316,NA,0,0
hilda,8.521185212685776,NA,1,0
anna,8.006367567650246,NA,1,0
arwid,9.3101857069459,NA,0,0
agnes,9.611127890533236,NA,1,0
antonia,7.313220387090301,NA,0,0
arvid,10.744407977385507,NA,0,0
agnes,7.313220387090301,NA,1,0
arne,7.7142311448490855,NA,0,0
erik,9.094929520464856,0,0,1
johan,7.77485576666552,NA,0,0
frans,8.517193191416238,NA,0,0
anna,7.600902459542082,NA,1,0
valborg,7.313220387090301,NA,0,0
josefina,7.501082124259871,NA,1,0
kristina,7.313220387090301,NA,1,0
anna,7.358830898342354,NA,1,0
alfred,9.58465875108751,NA,0,0
olga,8.517193191416238,NA,0,0
vilhelm,7.52294091807237,NA,0,0
stellan,10.412711894935144,NA,0,0
erik,9.615805480084347,NA,0,0
berta,7.313220387090301,NA,1,0
per,9.20432229965062,NA,0,0
laura,7.6255950721324535,NA,1,0
hildur,7.313220387090301,1,1,1
hildur,7.22983877815125,NA,1,0
kristina,7.293017679772782,NA,1,0
anders,8.400659375160286,NA,0,0
sofia,7.937374696163295,NA,1,0
karl,8.768729817231666,NA,0,0
vera,7.855544677915663,NA,0,0
sonja,8.070906088787819,NA,0,0
erlina,7.590852123688581,NA,0,0
edit,7.313220387090301,1,1,1
anna,7.038783541388542,NA,1,0
maria,5.480638923341991,1,1,1
margareta,7.727535110475448,NA,1,0
